objid,period_true,name
11519381014070597455,1.1202,kiso_222304.6+574439
10011607524761397197,1.63,kiso_053407.8+321909
11484460524771500543,1.9706,kiso_004234.1+635022
11682143919352686643,2.0516,kiso_233407.1+624908
10495375048796432654,2.3818,kiso_034208.9+560147
11430540474545989859,2.4889,kiso_005732.5+630923
11066681290589123387,2.6847,kiso_200606.1+364634
11410626119943691494,2.7102,kiso_213223.5+513824
11610596498710532764,2.8418,kiso_004326.0+620848
8084928901362525464,2.9451,kiso_060522.8+205644
11555638509508310413,2.9902,kiso_224539.1+594246
11320378205536461564,2.9971,kiso_211839.9+504732
11501173101514028134,3.0782,kiso_220750.2+555857
11282906849261172610,3.1275,kiso_201608.6+351145
11447341012218221912,3.2041,kiso_222323.7+584700
11211728864526439128,3.3705,kiso_204803.6+453105
11392453391760324501,3.4348,kiso_212316.8+500731
11121111514210505430,3.4562,kiso_202343.9+403120
10926753042792443755,3.5637,kiso_021807.4+614925
11103009154770902660,3.5662,kiso_201921.4+393200
11428077568499348460,3.5694,kiso_210421.5+451421
10138130526792447263,3.6183,kiso_054544.9+270404
11609664112849958094,3.6966,kiso_224617.2+590543
11084678096912591851,3.861,kiso_200613.3+362552
11284067933539549162,3.8717,kiso_210313.9+475319
11898510215512952318,3.8779,kiso_000146.0+622527
10819053679827547890,3.9692,kiso_025204.0+584254
10423722075037607643,4.1591,kiso_040245.1+521217
11410608527757706495,4.3152,kiso_213143.9+512256
11392875604224767653,4.3521,kiso_214846.2+544410
10154561628557935361,4.3732,kiso_044534.8+433422
11265332255403041800,4.4596,kiso_203348.6+400009
11282678150842423307,4.5899,kiso_200731.7+325037
11426124835848562897,4.6259,kiso_194611.9+250033
11338216682184438064,4.6698,kiso_211037.6+483520
10315758829283213910,4.7163,kiso_041246.2+515504
11246385471032521282,4.8029,kiso_195552.7+302929
10459662911126281072,4.934,kiso_035615.0+524826
11283716089819728838,4.9363,kiso_204836.0+440247
11192746895783869993,4.9454,kiso_200928.5+350758
11156946797184086870,5.1062,kiso_201728.0+375110
11372064048133984475,5.3641,kiso_194303.0+251325
11591825636200553255,5.4338,kiso_230322.6+611624
11338023168138825981,5.4714,kiso_210153.4+462856
11484583670074839259,5.6338,kiso_005641.0+623317
11264558199216353605,5.7663,kiso_200148.0+315401
11465214673240027452,5.7703,kiso_221113.0+570313
11120566156444484339,5.8546,kiso_200124.6+343546
11372820512134589292,5.856,kiso_201309.1+323711
11211535350478581983,5.9745,kiso_204056.7+432537
11102798048539059338,6.0117,kiso_201032.4+372115
11283874419494308505,6.3856,kiso_205425.7+454331
11229057167778832858,6.5118,kiso_202137.1+374835
11174873234763002003,6.5313,kiso_201403.7+365012
11336510240138253657,7.1007,kiso_200101.4+301117
9975508358998138814,7.2912,kiso_053235.1+332153
11336281541722255812,7.3047,kiso_195139.2+275639
11210515003688673499,7.3063,kiso_200009.5+322315
11322594820977584845,7.9232,kiso_011653.4+624633
11444068865613802368,8.5231,kiso_194324.6+240720
11246842867870357315,10.2991,kiso_201335.2+350942
11282291122749445488,10.8793,kiso_195214.9+285522
11210655741177769988,11.6011,kiso_200556.7+335022
11229778447407993525,12.2208,kiso_205012.0+454156
11336228765161586773,12.7204,kiso_195003.7+272746
11138949990860553248,17.9019,kiso_201648.6+382035
11210884439596447843,18.3612,kiso_201443.1+361939
11282660558656390906,22.3409,kiso_200636.6+323311
11282766111772342641,24.0215,kiso_201045.9+333644
11336035251114971281,28.8802,kiso_194146.4+253119
11336668569814118899,33.458,kiso_200712.0+315232
11264839674193803949,34.2216,kiso_201358.4+344845
11174978787879575976,40.1976,kiso_201855.0+375652
11354718152697115488,48.7641,kiso_200908.8+315323
